K1 with 1D blocks,,,,,
X-size,Y-size,Time,Gflops,,
128,4,"1,153952","119,102829",,
128,4,"1,153517","119,147751",,
128,4,"1,153567","119,142532",,
128,4,"1,153877","119,110558",,
128,4,"1,153361","119,163887",,
128,4,"1,153829","119,115524",,
,,,,,
128,2,"1,168059","117,664391","1,1678886","117,6816238"
128,2,"1,168637","117,606224",,
128,2,"1,168135","117,656761",,
128,2,"1,167575","117,713196",,
128,2,"1,167618","117,708862",,
128,2,"1,16712","117,759079",,
128,2,"1,168023","117,668037",,
128,2,"1,168866","117,583191",,
128,2,"1,166249","117,846992",,
128,2,"1,168604","117,609505",,
,,,,,
256,4,"1,154623","119,0336","1,1536344","119,1356347"
256,4,"1,153853","119,113091",,
256,4,"1,153317","119,168396",,
256,4,"1,1536","119,139191",,
256,4,"1,153105","119,190277",,
256,4,"1,153827","119,115776",,
256,4,"1,153123","119,188446",,
256,4,"1,153615","119,137581",,
256,4,"1,153329","119,16716",,
256,4,"1,153952","119,102829",,
,,,,,
256,2,"1,160498","118,431046","1,1603593","118,4452133"
256,2,"1,159913","118,490715",,
256,2,"1,160375","118,443611",,
256,2,"1,162354","118,241913",,
256,2,"1,159653","118,517265",,
256,2,"1,16002","118,479813",,
256,2,"1,15985","118,497131",,
256,2,"1,161067","118,372932",,
256,2,"1,15999","118,482895",,
256,2,"1,159873","118,494812",,
,,,,,
512,2,"1,1664","117,831734","1,1649643","117,9799652"
512,2,"1,158807","118,603813",,
512,2,"1,165153","117,957817",,
512,2,"1,160282","118,453011",,
512,2,"1,16464","118,009819",,
512,2,"1,160202","118,46125",,
512,2,"1,174633","117,005859",,
512,2,"1,164885","117,984993",,
512,2,"1,158399","118,645561",,
512,2,"1,176242","116,845795",,
,,,,,
,,,,,
K4 with 2D blocks,,,,,
X-size,Y-size,Time,Gflops,,
8,8,"1,395052","98,518883","1,3881619","99,0094864"
8,8,"1,390899","98,813019",,
8,8,"1,391469","98,77253",,
8,8,"1,391065","98,801254",,
8,8,"1,3907","98,827148",,
8,8,"1,380009","99,592819",,
8,8,"1,38008","99,5877",,
8,8,"1,391906","98,741562",,
8,8,"1,39114","98,795914",,
8,8,"1,379299","99,644035",,
,,,,,
16,16,"0,697218","197,124908","0,6969337","197,2053025"
16,16,"0,696744","197,258957",,
16,16,"0,696865","197,224548",,
16,16,"0,697057","197,170456",,
16,16,"0,696873","197,222504",,
16,16,"0,696833","197,233826",,
16,16,"0,697307","197,099747",,
16,16,"0,696872","197,222794",,
16,16,"0,696545","197,315353",,
16,16,"0,697023","197,179932",,
,,,,,
32,32,"0,584978","234,947418","0,5842661","235,2347001"
32,32,"0,583373","235,593567",,
32,32,"0,583349","235,603165",,
32,32,"0,586791","234,221512",,
32,32,"0,583159","235,679932",,
32,32,"0,584573","235,110123",,
32,32,"0,582557","235,923752",,
32,32,"0,583012","235,739349",,
32,32,"0,585001","234,937851",,
32,32,"0,585868","234,590332",,
